name,url,use,rating,aromas,Alpha Acid-low,Alpha Acid-mid,Alpha Acid-high,Beta Acid-low,Beta Acid-mid,Beta Acid-high,Co-humulone-low,Co-humulone-mid,Co-humulone-high,Total Oil-low,Total Oil-mid,Total Oil-high,Geraniol-low,Geraniol-mid,Geraniol-high,Caryophyllene-low,Caryophyllene-mid,Caryophyllene-high,B-Pinene-low,B-Pinene-mid,B-Pinene-high,Myrcene-low,Myrcene-mid,Myrcene-high,Humulene-low,Humulene-mid,Humulene-high,Linalool-low,Linalool-mid,Linalool-high,Farnesene-low,Farnesene-mid,Farnesene-high
,,,stars,,%,%,%,%,%,%,%,%,%,mL/100g,mL/100g,mL/100g,% of total oil,% of total oil,% of total oil,% of total oil,% of total oil,% of total oil,% of total oil,% of total oil,% of total oil,% of total oil,% of total oil,% of total oil,% of total oil,% of total oil,% of total oil,% of total oil,% of total oil,% of total oil,% of total oil,% of total oil,% of total oil
Ahtanum‰ã¢,https://ychhops.com/varieties/ahtanum-brand-ycr,aroma,4.125,"[u'Earthy', u'Floral', u'Citrus']",3.5,5,6.5,4,5,6,30,32,34,0.5,1.1,1.7,0.4,0.55,0.7,9,10.5,12,0.6,0.75,0.9,45,50,55,15,18.5,22,0.4,0.5,0.6,0,0.5,1
Amarilloå¨,https://ychhops.com/varieties/amarillo-brand-vgxp01,aroma,4,"[u'Floral', u'Citrus']",7,9,11,5.5,6.75,8,20,22,24,1,1.65,2.3,0.1,0.1,0.1,7,8.5,10,0.4,0.6,0.8,40,45,50,19,21.5,24,0.5,0.65,0.8,6,7.5,9
Aramis,https://ychhops.com/varieties/aramis,aroma,5,"[u'Earthy', u'Citrus', u'Spicy', u'Herbal', u'Green']",7.9,8.1,8.3,3.8,4.15,4.5,20,20.5,21,1.2,1.4,1.6,0,0,0,7.3,7.4,7.5,,,,39,40,41,20.9,21,21.1,,,,2,3,4
Blanc,https://ychhops.com/varieties/blanc,aroma,,"[u'Floral', u'Citrus', u'Fruity', u'Herbal']",9,10.5,12,4.5,5,5.5,22,24,26,1.2,1.35,1.5,0,0,0,0,1,2,,,,50,62.5,75,0,1.5,3,,,,0,0.5,1
Bobek,https://ychhops.com/varieties/bobek,aroma,3,"[u'Floral', u'Pine']",3.5,5.25,7,4,5.05,6.1,27,29,31,0.7,2.35,4,0,0,0,4,5,6,,,,30,37.5,45,13,16,19,,,,4,5.5,7
Brewers Gold,https://ychhops.com/varieties/brewers-gold-1,aroma,,"[u'Spicy', u'Fruity']",4.5,5.5,6.5,2.5,3,3.5,40,44,48,0.8,1.3,1.8,0,0,0,7,7.5,8,,,,40,45,50,29,30,31,,,,0,0.5,1
Cascade,https://ychhops.com/varieties/cascade,aroma,4.125,"[u'Floral', u'Citrus', u'Spicy']",5.5,7.25,9,6,6.75,7.5,30,32.5,35,0.8,1.65,2.5,0.2,0.2,0.2,5,7,9,0.5,0.65,0.8,45,52.5,60,14,17,20,0.3,0.45,0.6,6,7.5,9
Citraå¨,https://ychhops.com/varieties/citra-brand-hbc-394-cv,aroma,4,"[u'Citrus', u'Tropical Fruit']",11,13,15,3,3.75,4.5,20,22,24,1.5,2.25,3,0.3,0.4,0.5,5,6.5,8,0.7,0.85,1,60,65,70,7,9.5,12,0.6,0.75,0.9,0,0.5,1
Columbia,https://ychhops.com/varieties/columbia,aroma,,"[u'Earthy', u'Fruity']",5,5.5,6,3,3.5,4,39,40,41,1,1.5,2,0.2,0.2,0.2,9,10.5,12,0.6,0.7,0.8,45,50,55,15,17,19,0.2,0.35,0.5,3,4,5
Crystal,https://ychhops.com/varieties/crystal,aroma,,"[u'Earthy', u'Herbal']",3,4.5,6,6,7.25,8.5,23,24.5,26,0.8,1.55,2.3,0.4,0.55,0.7,5,8.5,12,0.4,0.7,1,30,42.5,55,20,25,30,0.6,0.8,1,0,0.5,1
Ekuanot‰ã¢,https://ychhops.com/varieties/ekuanot-brand-hbc-366-cv,aroma,4.143,"[u'Citrus', u'Tropical Fruit', u'Fruity', u'Herbal']",13,14.25,15.5,4,4.5,5,31,33.5,36,2.5,3.25,4,0.2,0.2,0.2,8,10,12,0.4,0.6,0.8,30,37.5,45,12,16,20,0.2,0.35,0.5,0,0.5,1
Falconer's Flight 7C'så¨,https://ychhops.com/varieties/falconers-flight-7cs,aroma,5,"[u'Earthy', u'Citrus', u'Spicy']",9,9.75,10.5,4.7,4.9,5.1,0,24,48,1.7,1.7,1.7,0,0,0,0,10,20,0,1,2,0,35,70,0,27.5,55,0,1,2,0,10,20
Falconer's Flightå¨,https://ychhops.com/varieties/falconers-flight,aroma,5,"[u'Floral', u'Citrus', u'Tropical Fruit']",9.5,10.75,12,4,4.5,5,20,22.5,25,1.6,3.1,4.6,0,0,0,,,,,,,,,,,,,,,,,,
Fuggle,https://ychhops.com/varieties/fuggle,aroma,5,"[u'Fruity', u'Herbal', u'Cedar']",3,4.5,6,2,2.75,3.5,25,28.5,32,0.5,0.75,1,0.1,0.2,0.3,11,13,15,0.2,0.35,0.5,15,20,25,30,35,40,0.6,0.8,1,5,6.5,8
